comment,candidate,label_raw,score_raw,polarity,strength
Parisi llena las plazas sin llevar artista ni escenarios  el profe va ganar ojo!!!,Franco Parisi,1 star,0.6367791891098022,Negativo,0.0
"Lo de Kast fue impresionante, tremendo espectáculo",José Antonio Kast,5 stars,0.6910494565963745,Positivo,1.0
Kast y republicanos lo mejor,José Antonio Kast,5 stars,0.6064919233322144,Positivo,1.0
"Parisi no es un parasito h debe ser el primer presidente de clase media . Con esfuerzo real y trabajo , como la mayoria de los chilenos",Franco Parisi,5 stars,0.5162262320518494,Positivo,1.0
"Por Chile, por la democracia y la seguridad en el país, vota Jeannette Jara 🇨🇱",Jannette Jara,5 stars,0.47604110836982727,Positivo,1.0
KAST SERA UN GRAN PRESIDENTE VOTA,José Antonio Kast,5 stars,0.6244977116584778,Positivo,1.0
Parisi tiene la preparación para gobernar nadie más,Franco Parisi,5 stars,0.45723170042037964,Positivo,1.0
Kaiser el Presidente que necesita Chile. Para sacarlo del abismo que  lo dejo este Gobierno miserable,Johannes Kaiser,1 star,0.7529876828193665,Negativo,0.0
"Chilenos y Chilenas no tengan miedo de votar por  Kaiser, es el único que puede terminar con el flagelo de la delincuencia, narcotráfico, terrorismo",Johannes Kaiser,1 star,0.6314007639884949,Negativo,0.0
cada vez que escucho a la Matthei más me felicito por haber decidido no votar por ella de ninguna manera,Evelyn Matthei,5 stars,0.3118950426578522,Positivo,1.0
Mal Matthei. Quiere estar en el medio y se queda en lo mediocre,Evelyn Matthei,2 stars,0.541225254535675,Negativo,1.0
Que mal Matthei!!! Me decepcionó más todavía. No tuvo la valentía de responder con la verdad,Evelyn Matthei,2 stars,0.49548226594924927,Negativo,1.0
Que desagradable Kast apuntando a todos cuando tú eres cero aporte. Te pido que ojalá al menos te pongas a la altura del debate y te pongas a pensar en la gente y no en lloriquear como lo haz hecho toda esta franja,José Antonio Kast,1 star,0.7201287746429443,Negativo,0.0
Kaiser me sorprende tanto me encanta,Johannes Kaiser,5 stars,0.783223569393158,Positivo,1.0
Harold es muy buena persona pero en estos momentos chile necesita una mano fuerte,Harold Mayne Nicholls,3 stars,0.3859086334705353,Neutro,0.5
"No sé cómo la gente le cree a esta mujer. No contesta lo que le preguntan y pone voz suave y dulce, la gente cae. Es un peligro",Jannette Jara,1 star,0.8703944683074951,Negativo,0.0
El que quiera votar por ella debe saber que no habrá mano dura ni solución para delincuencia,Jannette Jara,1 star,0.46531549096107483,Negativo,0.0
A esta señora no le creo nada,Jannette Jara,1 star,0.6467135548591614,Negativo,0.0
"Jara inviable, no al comunismo",Jannette Jara,1 star,0.45597511529922485,Negativo,0.0
"Ni para presidenta de la junta de vecinos. Demasiada falta de coherencia, seguridad y verdad. Una vergüenza de candidata",Jannette Jara,1 star,0.5695089101791382,Negativo,0.0
Uffff que terrible está señora ! No sé quién en su sano juicio podrían votar por ella y sus ideas,Jannette Jara,1 star,0.9424117803573608,Negativo,0.0
"Que desagradable Marco Enríquez Ominami, por favor, basta caballero, deje de postularse",Marco Enríquez Ominami,1 star,0.548859715461731,Negativo,0.0
"Trata de ser encantador y no le resulta... por eso este tipo es envolvente, manipulador... de esos que se hacen los chistositos",Franco Parisi,2 stars,0.29441457986831665,Negativo,1.0
Es un cuentero,Franco Parisi,3 stars,0.22541746497154236,Neutro,0.5
El historial más conocido es de Kast y Kaiser...no han hecho NADA,José Antonio Kast,1 star,0.48378005623817444,Negativo,0.0
El historial más conocido es de Kast y Kaiser...no han hecho NADA,Johannes Kaiser,1 star,0.48378005623817444,Negativo,0.0
"Jara ahora reniega de sus amigos y su partido, como le podemos creer lo que promete",Jannette Jara,5 stars,0.40754857659339905,Positivo,1.0
"Marco Enríquez Ominami está realmente loco.... Su narcisismo ha llegado a otro nivel, que se cree?",Marco Enríquez Ominami,1 star,0.45191124081611633,Negativo,0.0
"Lo que hizo MEO es ilegal, debe ser automaticamente descalificado",Marco Enríquez Ominami,1 star,0.8703652620315552,Negativo,0.0
Con el respeto que se merece cada uno de mis compatriotas el más acertivo en esta primera franja es indudable que es el sr Kaiser sin enamoramiento mas bien rígido con las causas que requiere chile,Johannes Kaiser,5 stars,0.5452533960342407,Positivo,1.0
Kaiser es lo que chile necesita,Johannes Kaiser,5 stars,0.6161916851997375,Positivo,1.0
"El unico candidato que defiende ""Lo bueno, lo bello y lo verdadero"" el ultimo bastión de la razón y la libertad,usted confie en Dios y vote Kaiser",Johannes Kaiser,5 stars,0.534571647644043,Positivo,1.0
No se como no darse cuenta que parisi es un tremendo demagogo y mentiroso,Franco Parisi,1 star,0.6025956273078918,Negativo,0.0
"MEO ya va en su quinta candidatura y nunca pasa del cuarto lugar. Parece que solo se presenta para descalificar gratuitamente a los candidatos de derecha y desviar votos. No aporta propuestas, solo críticas vacías",Marco Enríquez Ominami,1 star,0.6459348797798157,Negativo,0.0
"Marco no has Convencido en 4 candidaturas no lo vas hacer en 1 mes, menos con esa franja",Marco Enríquez Ominami,1 star,0.42435333132743835,Negativo,0.0
"El meo es un peligro para la democracia,  y vive del odio, además de la plata de todos los chilenos, una vergüenza este este tipo",Marco Enríquez Ominami,1 star,0.8884609341621399,Negativo,0.0
"Meo es un parasito de la política,  ha desviado votos y descalificado a los otros candidatos desde siempre,  no sirve para nada",Marco Enríquez Ominami,1 star,0.950131356716156,Negativo,0.0
"MEO como el eterno candidato no sirve para nada ,que está haciendo ahí",Marco Enríquez Ominami,1 star,0.7105249166488647,Negativo,0.0
"Franco Parisi es por lejos el más capacitado y valiente para acabar con la corrupción, si eres inteligente vota Parisi",Franco Parisi,3 stars,0.2403869330883026,Neutro,0.5
"Por mucho que quieran destruir la imagen de mi candidato ..mi voto es para Kaiser desde que escuché sus ideas, Chile debe volver a ser un país en vías de desarrollo..la izquierda ha destruido chile en todos sus ambitos",Johannes Kaiser,1 star,0.6351324319839478,Negativo,0.0
"Artes no es de izquierda, es un bolchevique, cree que estamos en 1925",Eduardo Artés,1 star,0.6207903027534485,Negativo,0.0
Artes representa todo lo mal que está en los profesores… como pueden infectar la mente de los más jóvenes con ideas fracasadas,Eduardo Artés,1 star,0.3378596603870392,Negativo,0.0
El más indicado para Presidente espero que mi chile no se equivoque denuevo. OMINAMI PRESIDENTE,Marco Enríquez Ominami,1 star,0.36504438519477844,Negativo,0.0
Meo Presidente el pueblo está contigo Marcó Presidente,Marco Enríquez Ominami,5 stars,0.3950369358062744,Positivo,1.0
"Este hombre no se maneja para nada en cómo administrar y liderar un país… votos perdidos, mentiroso, agresivo etc…",Harold Mayne Nicholls,1 star,0.9300825595855713,Negativo,0.0
El mejor Harold !!!!,Harold Mayne Nicholls,5 stars,0.8974782228469849,Positivo,1.0
"No sé ustedes, pero yo voy por Mayne-Nicholls",Harold Mayne Nicholls,3 stars,0.31570225954055786,Neutro,0.5
Pero al menos es alguien que le ha hecho bien a Chile,Harold Mayne Nicholls,3 stars,0.4238717257976532,Neutro,0.5
"No se Uds. pero es mi candidato. Un líder con capacidad de gestión y práctico. Caballero, y con capacidad de diálogo",Harold Mayne Nicholls,4 stars,0.4240765869617462,Positivo,0.5
El UNICO que está por la batalla cultural es KAISER,Johannes Kaiser,3 stars,0.23855149745941162,Neutro,0.5
"NUNCA voten por Jara, por su seguridad",Jannette Jara,1 star,0.2933889329433441,Negativo,0.0
"El viejo artes es peor que el boric, responde siempre a la defensiva, cree que lo atacan con cada pregunta, no tiene paciencia para debatir, igual que el merluzo, pierden los estribos facilmente",Eduardo Artés,5 stars,0.26084527373313904,Positivo,1.0
Vamos con todo KAISER Presidente de Chile,Johannes Kaiser,5 stars,0.5972142219543457,Positivo,1.0
KAST PRESIDENTE DE LA REPÚBLICA DE CHILE 2026. Es el más apto para gobernar nuestra nación,José Antonio Kast,5 stars,0.7046313285827637,Positivo,1.0
PARÍSI  POR SUPUESTO,Franco Parisi,3 stars,0.3263891935348511,Neutro,0.5
Kast es el más equilibrado y capaz,José Antonio Kast,5 stars,0.669935405254364,Positivo,1.0
Un contrato de confidencialidad no impide decir el nombre de la empresa. Parisi miente,Franco Parisi,1 star,0.3305383026599884,Negativo,0.0
GRANDE HAROLD MAYNE-NICHOLLS!!!,Harold Mayne Nicholls,5 stars,0.5709097385406494,Positivo,1.0
Parisi Presidente.  De otra manera. Perderemos todas nuestras  libertades y derechos humanos con la Agenda 2030 de la ONU y la OMS criminal,Franco Parisi,1 star,0.6180837750434875,Negativo,0.0
