comment,candidate
Parisi llena las plazas sin llevar artista ni escenarios  el profe va ganar ojo!!!,Franco Parisi
"Lo de Kast fue impresionante, tremendo espectáculo",José Antonio Kast
Kast y republicanos lo mejor,José Antonio Kast
"Parisi no es un parasito h debe ser el primer presidente de clase media . Con esfuerzo real y trabajo , como la mayoria de los chilenos",Franco Parisi
"Por Chile, por la democracia y la seguridad en el país, vota Jeannette Jara 🇨🇱",Jannette Jara
KAST SERA UN GRAN PRESIDENTE VOTA,José Antonio Kast
Parisi tiene la preparación para gobernar nadie más,Franco Parisi
Kaiser el Presidente que necesita Chile. Para sacarlo del abismo que  lo dejo este Gobierno miserable,Johannes Kaiser
"Chilenos y Chilenas no tengan miedo de votar por  Kaiser, es el único que puede terminar con el flagelo de la delincuencia, narcotráfico, terrorismo",Johannes Kaiser
cada vez que escucho a la Matthei más me felicito por haber decidido no votar por ella de ninguna manera,Evelyn Matthei
Mal Matthei. Quiere estar en el medio y se queda en lo mediocre,Evelyn Matthei
Que mal Matthei!!! Me decepcionó más todavía. No tuvo la valentía de responder con la verdad,Evelyn Matthei
Que desagradable Kast apuntando a todos cuando tú eres cero aporte. Te pido que ojalá al menos te pongas a la altura del debate y te pongas a pensar en la gente y no en lloriquear como lo haz hecho toda esta franja,José Antonio Kast
Kaiser me sorprende tanto me encanta,Johannes Kaiser
Harold es muy buena persona pero en estos momentos chile necesita una mano fuerte,Harold Mayne Nicholls
"No sé cómo la gente le cree a esta mujer. No contesta lo que le preguntan y pone voz suave y dulce, la gente cae. Es un peligro",Jannette Jara
El que quiera votar por ella debe saber que no habrá mano dura ni solución para delincuencia,Jannette Jara
A esta señora no le creo nada,Jannette Jara
"Jara inviable, no al comunismo",Jannette Jara
"Ni para presidenta de la junta de vecinos. Demasiada falta de coherencia, seguridad y verdad. Una vergüenza de candidata",Jannette Jara
Uffff que terrible está señora ! No sé quién en su sano juicio podrían votar por ella y sus ideas,Jannette Jara
"Que desagradable Marco Enríquez Ominami, por favor, basta caballero, deje de postularse",Marco Enríquez Ominami
"Trata de ser encantador y no le resulta... por eso este tipo es envolvente, manipulador... de esos que se hacen los chistositos",Franco Parisi
Es un cuentero,Franco Parisi
El historial más conocido es de Kast y Kaiser...no han hecho NADA,José Antonio Kast
